Superstrate_thickness,Frequency10,Frequency01
0,2.550001915,3.292009538
0,2.550006221,3.292009921
0,2.550004377,3.292004796
0,2.550007854,3.292009434
0,2.5500078,3.292007488
0,2.550002726,3.2920084
0,2.550002765,3.292002422
0,2.550008019,3.29200366
0,2.550009581,3.29200372
0,2.550008759,3.292006529
0,2.550003578,3.292007118
0,2.55000501,3.292007742
0,2.550006835,3.292004541
0,2.550007127,3.292009389
0,2.550003703,3.292009574
0,2.550005612,3.292002256
0,2.550005031,3.292004413
0,2.550000138,3.292001765
0,2.550007728,3.292008129
0,2.550008826,3.292008083
0,2.550003649,3.292006397
0,2.550006154,3.292007495
0,2.550000754,3.292009269
0,2.550003688,3.292001741
0,2.550009331,3.29200819
0,2.550006514,3.292002187
0,2.550003972,3.292009617
0,2.550007887,3.292001671
0,2.550003168,3.292006928
0,2.550005681,3.292001125
0,2.550008691,3.292003703
0,2.550004362,3.292002497
0,2.550008021,3.29200516
0,2.550001438,3.292004165
0,2.550007043,3.292001673
0,2.550007046,3.292009288
0,2.550002188,3.292004967
0,2.550009249,3.292007917
0,2.550004421,3.292007175
0,2.550009093,3.292006842
0,2.550000598,3.292006142
0,2.550001843,3.292003142
0,2.550000474,3.292005801
0,2.550006749,3.292005459
0,2.550005946,3.292004874
0,2.550005333,3.292004924
0,2.550000433,3.292001676
0,2.550005614,3.292009513
0,2.550003297,3.292009581
0,2.55000503,3.29200571
0,2.550001119,3.292009701
0,2.550006072,3.292001783
0,2.550005659,3.292004779
0,2.550000068,3.2920036
0,2.550006174,3.292002831
0,2.550009121,3.292001863
0,2.550007905,3.292008228
0,2.550009921,3.29200855
0,2.550009588,3.292001004
0,2.55000792,3.292003442
0,2.550002853,3.292007488
0,2.550006249,3.292003272
0,2.550004781,3.292003912
0,2.550001957,3.292001679
0,2.550003823,3.292006694
0,2.550000539,3.292002683
0,2.550004516,3.292008545
0,2.55000982,3.292003017
0,2.550001239,3.292003854
0,2.550001194,3.292008924
0,2.550007385,3.292001402
0,2.550005873,3.292003096
0,2.550004716,3.292006769
0,2.550001071,3.292003675
0,2.550002292,3.292009656
0,2.550009,3.292000968
0,2.550004168,3.292002265
0,2.550005359,3.292007305
0,2.550000062,3.292005024
0,2.550003006,3.292001221
0,2.550004369,3.292008061
0,2.550006121,3.292006671
0,2.550009182,3.292009657
0,2.550006257,3.292004792
0,2.55000706,3.292004583
0,2.550001498,3.292003739
0,2.550007461,3.29200144
0,2.55000831,3.292000046
0,2.550006337,3.29200977
0,2.550004383,3.292004783
0,2.550001526,3.292002349
0,2.550005684,3.292000084
0,2.550005282,3.292001351
0,2.550009514,3.292004229
0,2.550004804,3.292003824
0,2.550005026,3.292005626
0,2.550005369,3.292006182
0,2.550008192,3.292004545
0,2.550000571,3.292000707
0,2.550006694,3.292009257
0,2.550007671,3.292008862
0,2.550007081,3.292005921
0,2.550007969,3.292001025
0,2.550005578,3.292007652
0,2.550009658,3.292008346
0,2.550001472,3.292003131
0,2.550000296,3.292003348
0,2.550005939,3.292002232
0,2.550001141,3.292004761
0,2.550009508,3.292000362
0,2.550003257,3.292001382
0,2.550001936,3.292000247
0,2.550004578,3.292009091
0,2.550009204,3.292005583
0,2.550008791,3.292007247
0,2.550002526,3.292008437
0,2.55000348,3.292000722
0,2.550001826,3.292009243
0,2.550009018,3.292008323
0,2.550007065,3.292009418
0,2.550007267,3.292000574
0,2.550009001,3.292006396
0,2.550007792,3.292009067
0,2.550005992,3.292006168
0,2.550002911,3.292001489
0,2.550001514,3.29200293
0,2.550003352,3.292006066
0,2.550006576,3.292002423
0,2.550000733,3.292003496
0,2.55000055,3.29200722
0,2.550003232,3.29200617
0,2.550005905,3.292006495
0,2.550008539,3.292002534
0,2.550002871,3.292005335
0,2.550001731,3.292004957
0,2.55000134,3.292004194
0,2.550009947,3.292001772
0,2.550001795,3.292009837
0,2.550003175,3.292002406
0,2.550005683,3.292003561
0,2.550000093,3.292000968
0,2.550009006,3.292001474
0,2.550009772,3.292000303
0,2.550005569,3.292001643
0,2.550000848,3.292004141
0,2.55000333,3.29200303
0,2.550007284,3.292007016
0,2.550001424,3.29200957
0,2.550005525,3.292001897
0,2.55000273,3.292005581
0,2.550009745,3.292003763
0,2.550006678,3.29200083
0,2.550002557,3.292005875
0,2.550001083,3.292007477
0,2.550007762,3.292008177
0,2.550007825,3.292007687
0,2.550007616,3.292000749
0,2.550009144,3.292008223
0,2.550006586,3.292009777
0,2.550005684,3.292009508
0,2.550002018,3.292000255
0,2.550006983,3.2920064
0,2.550009522,3.292009703
0,2.5500089,3.292003998
0,2.550009936,3.292005485
0,2.550008187,3.292008127
0,2.550005451,3.292000327
0,2.550004513,3.29200916
0,2.550008906,3.292000333
0,2.550009733,3.292008511
0,2.550005934,3.292001078
0,2.550003661,3.292004897
0,2.550003231,3.292001628
0,2.550008714,3.292004431
0,2.550002156,3.292000583
0,2.550007349,3.292007067
0,2.550003656,3.292007726
0,2.550008016,3.292005251
0,2.550007827,3.292001125
0,2.550007014,3.292002464
0,2.550006228,3.292000048
0,2.550004937,3.292000112
0,2.550008405,3.292002084
0,2.550007121,3.292007371
0,2.550004439,3.292004556
0,2.55000031,3.292001063
0,2.550003632,3.29200071
0,2.550007307,3.292008211
0,2.550004756,3.292007883
0,2.550003444,3.292000652
0,2.550006409,3.29200752
0,2.550001262,3.292008807
0,2.550001715,3.292003043
0,2.550007371,3.292003319
0,2.55000127,3.292004494
0,2.550003696,3.292009162
0,2.550006043,3.292009953
0,2.550001031,3.292001538
0,2.550008024,3.292003497
0,2.550009456,3.292003822
0,2.55000979,3.292004845
0,2.550008812,3.292007494
0,2.550006277,3.292006628
0,2.550009305,3.292001292
0,2.550007248,3.292004192
0,2.550007167,3.292002344
0,2.550000411,3.292005346
0,2.550004395,3.292005299
0,2.550002821,3.292006584
0,2.55000335,3.292007185
0,2.550000835,3.292008404
0,2.550007608,3.292002523
0,2.550005093,3.292000268
0,2.55000661,3.292006202
0,2.550006303,3.292007418
0,2.550003709,3.292007347
0,2.550004467,3.292000682
0,2.550004151,3.292002446
0,2.550004804,3.29200385
0,2.550009833,3.292003363
0,2.550003734,3.29200631
0,2.550000124,3.292008979
0,2.550009219,3.292001169
0,2.550008733,3.292002679
0,2.550003517,3.292008283
